index,split,filename,width,height,brightness,label_class,num_objects,selection_reason,rel_path
1,train,44_jpg.rf.71299966507a8536c4119e5b22f7f919.jpg,1016,1175,27.2,1,1,low_light / dark exposure,data/PAN.v2i.yolov8/train/images/44_jpg.rf.71299966507a8536c4119e5b22f7f919.jpg
2,train,67_jpg.rf.55107a2840dfe628d92ea4cb50ae59bb.jpg,6648,6160,38.5,1,1,low_light / dark exposure,data/PAN.v2i.yolov8/train/images/67_jpg.rf.55107a2840dfe628d92ea4cb50ae59bb.jpg
3,train,108_jpg.rf.00d0fb013a7ae6283103bd6d754f3a52.jpg,1175,1016,39.4,1,1,low_light / dark exposure,data/PAN.v2i.yolov8/train/images/108_jpg.rf.00d0fb013a7ae6283103bd6d754f3a52.jpg
4,train,219_jpg.rf.28498cf5e7d1895c7167a6fdb46afe15.jpg,1118,1235,71.3,1,1,low_light / dim ambient,data/PAN.v2i.yolov8/train/images/219_jpg.rf.28498cf5e7d1895c7167a6fdb46afe15.jpg
5,train,50816cdd-5885d8406aa08beb56cc113a_pan_jpg.rf.85de07b133ae97a72610e1f60c7c3cb5.jpg,640,640,83.4,1,1,low_light / dim ambient,data/PAN.v2i.yolov8/train/images/50816cdd-5885d8406aa08beb56cc113a_pan_jpg.rf.85de07b133ae97a72610e1f60c7c3cb5.jpg
6,train,749_png.rf.8bbf3d726ff0947049d0c96cc2c78015.jpg,1000,750,72.6,1,1,low_light / dim ambient,data/PAN.v2i.yolov8/train/images/749_png.rf.8bbf3d726ff0947049d0c96cc2c78015.jpg
7,train,IMG_20230123_155706_jpg.rf.56aca6c9ea2a99713fd2e2e654fc167e.jpg,640,640,176.3,1,1,clear / standard quality,data/PAN.v2i.yolov8/train/images/IMG_20230123_155706_jpg.rf.56aca6c9ea2a99713fd2e2e654fc167e.jpg
8,train,1099_png_jpg.rf.a5022f14635bf52fb2ec34d9341f1b8e.jpg,640,640,149.8,1,1,clear / standard quality,data/PAN.v2i.yolov8/train/images/1099_png_jpg.rf.a5022f14635bf52fb2ec34d9341f1b8e.jpg
9,train,8c829514-imgtopdf_generated_2508201303047_page-87_jpg.rf.de3b1002f2a7f38e37dddf05d040ef5d.jpg,640,640,171.9,1,1,clear / standard quality,data/PAN.v2i.yolov8/train/images/8c829514-imgtopdf_generated_2508201303047_page-87_jpg.rf.de3b1002f2a7f38e37dddf05d040ef5d.jpg
10,train,6f149fe4-imgtopdf_generated_2508201310016_page-60_jpg.rf.1fce7a825fa6c4a7430b211afcf69d0f.jpg,640,640,154.9,1,1,clear / standard quality,data/PAN.v2i.yolov8/train/images/6f149fe4-imgtopdf_generated_2508201310016_page-60_jpg.rf.1fce7a825fa6c4a7430b211afcf69d0f.jpg
11,train,224_jpg.rf.0ec0fff23c7a646e0c59fce6897aa3ef.jpg,1720,2220,237.8,1,1,overexposed / washed-out,data/PAN.v2i.yolov8/train/images/224_jpg.rf.0ec0fff23c7a646e0c59fce6897aa3ef.jpg
12,train,c29f376b-583e77da8e977bbf7c8e2fac_pan_page-1_jpg.rf.5a8b169c0b00a1cbf477434e589ae8f7.jpg,640,640,248.3,1,1,overexposed / washed-out,data/PAN.v2i.yolov8/train/images/c29f376b-583e77da8e977bbf7c8e2fac_pan_page-1_jpg.rf.5a8b169c0b00a1cbf477434e589ae8f7.jpg
13,train,1487_png_jpg.rf.eb3522a3834ffb5167fd9efcc37a1c56.jpg,640,640,240.9,0,2,pan_back_side (class=back),data/PAN.v2i.yolov8/train/images/1487_png_jpg.rf.eb3522a3834ffb5167fd9efcc37a1c56.jpg
14,train,42_skew_corrected_jpg.rf.cda4b05234dbc640a12ebf24ce33428c.jpg,640,640,132.2,0,1,pan_back_side (class=back),data/PAN.v2i.yolov8/train/images/42_skew_corrected_jpg.rf.cda4b05234dbc640a12ebf24ce33428c.jpg
15,train,13_skew_corrected_jpg.rf.722f58cda8b9b96c456cb06529a36a30.jpg,640,640,160.4,1,1,rotated / skewed card (front),data/PAN.v2i.yolov8/train/images/13_skew_corrected_jpg.rf.722f58cda8b9b96c456cb06529a36a30.jpg
16,train,15_skew_corrected_jpg.rf.30dcac814a5b5700bda4b59c6b7f4f19.jpg,640,640,128.3,1,1,rotated / skewed card (front),data/PAN.v2i.yolov8/train/images/15_skew_corrected_jpg.rf.30dcac814a5b5700bda4b59c6b7f4f19.jpg
17,train,31_jpg.rf.065081ac8f25d94ad17680d2fa80fb66.jpg,2359,1673,186.6,1,1,high_res landscape,data/PAN.v2i.yolov8/train/images/31_jpg.rf.065081ac8f25d94ad17680d2fa80fb66.jpg
18,train,259_jpg.rf.4d62544d0c285c6d4e84e98c3475eabb.jpg,2629,2881,78.5,1,1,high_res portrait,data/PAN.v2i.yolov8/train/images/259_jpg.rf.4d62544d0c285c6d4e84e98c3475eabb.jpg
19,train,a16b5131-585b8921da39e180466c6a16_pan_Sign_page-1_jpg.rf.8afa953d5f2f90362aa821af09bd177f.jpg,640,640,223.7,1,2,multi_object (front+back both visible),data/PAN.v2i.yolov8/train/images/a16b5131-585b8921da39e180466c6a16_pan_Sign_page-1_jpg.rf.8afa953d5f2f90362aa821af09bd177f.jpg
20,train,ec14c5d3-58cfef7e42e00c4f07edbc96_pan_Sign_page-1_jpg.rf.e207124babfc872be85a5d79d5f95f1f.jpg,640,640,164.6,1,1,clear / standard quality (filler),data/PAN.v2i.yolov8/train/images/ec14c5d3-58cfef7e42e00c4f07edbc96_pan_Sign_page-1_jpg.rf.e207124babfc872be85a5d79d5f95f1f.jpg
